Player_id,NAME,Player_position,TEAM, SALARY 
1,Stephen Curry, PG,Golden State Warriors," $45,780,966.00 "
2,James Harden, SG,Philadelphia 76ers," $44,310,840.00 "
3,John Wall, PG,Houston Rockets," $44,310,840.00 "
4,Russell Westbrook, PG,Los Angeles Lakers," $44,211,146.00 "
5,Kevin Durant, PF,Brooklyn Nets," $42,018,900.00 "
6,LeBron James, SF,Los Angeles Lakers," $41,180,544.00 "
7,Giannis Antetokounmpo, PF,Milwaukee Bucks," $39,344,970.00 "
8,Damian Lillard, PG,Portland Trail Blazers," $39,344,900.00 "
9,Kawhi Leonard, SF,LA Clippers," $39,344,900.00 "
10,Paul George, F,LA Clippers," $39,344,900.00 "
11,Klay Thompson, SG,Golden State Warriors," $37,980,720.00 "
12,Jimmy Butler, SF,Miami Heat," $36,016,200.00 "
13,Tobias Harris, PF,Philadelphia 76ers," $35,995,950.00 "
14,Khris Middleton, SF,Milwaukee Bucks," $35,500,000.00 "
15,Anthony Davis, PF,Los Angeles Lakers," $35,361,360.00 "
16,Rudy Gobert, C,Utah Jazz," $35,344,828.00 "
17,Kyrie Irving, PG,Brooklyn Nets," $35,328,700.00 "
18,Bradley Beal, SG,Washington Wizards," $33,724,200.00 "
19,Pascal Siakam, PF,Toronto Raptors," $33,003,936.00 "
20,Ben Simmons, PG,Brooklyn Nets," $33,003,936.00 "
21,Jrue Holiday, PG,Milwaukee Bucks," $32,413,333.00 "
22,Kristaps Porzingis, C,Washington Wizards," $31,650,600.00 "
23,Devin Booker, SG,Phoenix Suns," $31,650,600.00 "
24,Karl-Anthony Towns, C,Minnesota Timberwolves," $31,650,600.00 "
25,Joel Embiid, C,Philadelphia 76ers," $31,579,390.00 "
26,Andrew Wiggins, SF,Golden State Warriors," $31,579,390.00 "
27,Nikola Jokic, C,Denver Nuggets," $31,579,390.00 "
28,Kevin Love, PF,Cleveland Cavaliers," $31,258,256.00 "
29,CJ McCollum, SG,New Orleans Pelicans," $30,864,198.00 "
30,D'Angelo Russell, PG,Minnesota Timberwolves," $30,013,500.00 "
31,Chris Paul, PG,Phoenix Suns," $30,000,000.00 "
32,Gordon Hayward, SF,Charlotte Hornets," $29,925,000.00 "
33,Jamal Murray, PG,Denver Nuggets," $29,467,800.00 "
34,Brandon Ingram, SF,New Orleans Pelicans," $29,467,800.00 "
35,De'Aaron Fox, PG,Sacramento Kings," $28,103,550.00 "
36,Bam Adebayo, C,Miami Heat," $28,103,500.00 "
37,Donovan Mitchell, SG,Utah Jazz," $28,103,500.00 "
38,Jayson Tatum, SF,Boston Celtics," $28,103,500.00 "
39,Al Horford, C,Boston Celtics," $27,000,000.00 "
40,Kyle Lowry, PG,Miami Heat," $26,894,128.00 "
41,Jaylen Brown, SG,Boston Celtics," $26,758,928.00 "
42,DeMar DeRozan, SF,Chicago Bulls," $26,000,000.00 "
43,Draymond Green, PF,Golden State Warriors," $24,026,712.00 "
44,Nikola Vucevic, C,Chicago Bulls," $24,000,000.00 "
45,John Collins, PF,Atlanta Hawks," $23,000,000.00 "
46,Buddy Hield, SG,Indiana Pacers," $22,768,890.00 "
47,Julius Randle, PF,New York Knicks," $21,780,000.00 "
48,Malcolm Brogdon, PG,Indiana Pacers," $21,700,000.00 "
49,Tim Hardaway Jr., SF,Dallas Mavericks," $21,308,816.00 "
50,Mike Conley, PG,Utah Jazz," $21,000,000.00 "
51,Gary Harris, SG,Orlando Magic," $20,482,143.00 "
52,Danilo Gallinari, PF,Atlanta Hawks," $20,475,000.00 "
53,Harrison Barnes, SF,Sacramento Kings," $20,284,091.00 "
54,Jerami Grant, SF,Detroit Pistons," $20,002,500.00 "
55,Jarrett Allen, C,Cleveland Cavaliers," $20,000,000.00 "
56,Domantas Sabonis, PF,Sacramento Kings," $19,800,000.00 "
57,Fred VanVleet, SG,Toronto Raptors," $19,675,926.00 "
58,Zach LaVine, SG,Chicago Bulls," $19,500,000.00 "
59,Bojan Bogdanovic, SF,Utah Jazz," $18,700,000.00 "
60,Lonzo Ball, PG,Chicago Bulls," $18,604,651.00 "
61,Clint Capela, C,Atlanta Hawks," $18,603,448.00 "
62,Eric Gordon, SG,Houston Rockets," $18,218,818.00 "
63,Eric Bledsoe, SG,LA Clippers," $18,125,000.00 "
64,Myles Turner, C,Indiana Pacers," $18,000,000.00 "
65,Bogdan Bogdanovic, SG,Atlanta Hawks," $18,000,000.00 "
66,Terry Rozier, SG,Charlotte Hornets," $17,905,263.00 "
67,Ricky Rubio, PG,Cleveland Cavaliers," $17,800,000.00 "
68,Caris LeVert, SG,Cleveland Cavaliers," $17,500,000.00 "
69,Jonathan Isaac, PF,Orlando Magic," $17,400,000.00 "
70,Joe Harris, SF,Brooklyn Nets," $17,357,143.00 "
71,Spencer Dinwiddie, PG,Dallas Mavericks," $17,142,857.00 "
72,Steven Adams, C,Memphis Grizzlies," $17,073,171.00 "
73,Evan Fournier, SG,New York Knicks," $17,000,000.00 "
74,Markelle Fultz, PG,Orlando Magic," $16,500,000.00 "
75,Aaron Gordon, PF,Denver Nuggets," $16,409,091.00 "
76,O.G. Anunoby, SF,Toronto Raptors," $16,071,429.00 "
77,Gary Trent Jr., SG,Toronto Raptors," $16,000,000.00 "
78,Davis Bertans, SF,Dallas Mavericks," $16,000,000.00 "
79,Lauri Markkanen, PF,Cleveland Cavaliers," $15,690,909.00 "
80,Duncan Robinson, F,Miami Heat," $15,650,000.00 "
81,Marcus Morris Sr., SF,LA Clippers," $15,627,907.00 "
82,Will Barton, G,Denver Nuggets," $15,625,000.00 "
83,Norman Powell, G,LA Clippers," $15,517,241.00 "
84,Dejounte Murray, SG,San Antonio Spurs," $15,428,880.00 "
85,Derrick White, PG,Boston Celtics," $15,178,571.00 "
86,Malik Beasley, SG,Minnesota Timberwolves," $14,491,964.00 "
87,Marcus Smart, PG,Boston Celtics," $14,339,285.00 "
88,Patrick Beverley, PG,Minnesota Timberwolves," $14,320,988.00 "
89,Thaddeus Young, PF,Toronto Raptors," $14,190,000.00 "
90,Jonas Valanciunas, C,New Orleans Pelicans," $14,000,000.00 "
91,Doug McDermott, SF,San Antonio Spurs," $13,750,000.00 "
92,Christian Wood, F,Houston Rockets," $13,666,667.00 "
93,Derrick Rose, PG,New York Knicks," $13,445,120.00 "
94,Luke Kennard, SG,LA Clippers," $13,347,727.00 "
95,Brook Lopez, C,Milwaukee Bucks," $13,302,325.00 "
96,Kentavious Caldwell-Pope, SG,Washington Wizards," $13,038,862.00 "
97,Joe Ingles, SG,Utah Jazz," $13,036,364.00 "
98,Kyle Kuzma, SF,Washington Wizards," $13,000,000.00 "
99,Taurean Prince, PF,Minnesota Timberwolves," $13,000,000.00 "
100,Robert Covington, PF,LA Clippers," $12,975,471.00 "
101,T.J. Warren, SF,Phoenix Suns," $12,690,000.00 "
102,Deandre Ayton, C,Phoenix Suns," $12,632,950.00 "
103,Terrence Ross, G,Orlando Magic," $12,500,000.00 "
104,Jordan Clarkson, PG,Utah Jazz," $12,420,000.00 "
105,Dillon Brooks, SF,Memphis Grizzlies," $12,200,000.00 "
106,Kelly Olynyk, PF,Detroit Pistons," $12,195,122.00 "
107,Kelly Oubre Jr., SG,Charlotte Hornets," $12,000,000.00 "
108,Jusuf Nurkic, C,Portland Trail Blazers," $12,000,000.00 "
109,Josh Hart, SG,Portland Trail Blazers," $12,000,000.00 "
110,Josh Richardson, SG,San Antonio Spurs," $11,615,328.00 "
111,Marvin Bagley III, PF,Detroit Pistons," $11,312,114.00 "
112,Dwight Powell, C,Dallas Mavericks," $11,080,125.00 "
113,Devonte' Graham, PG,New Orleans Pelicans," $11,000,000.00 "
114,Zion Williamson, PF,New Orleans Pelicans," $10,733,400.00 "
115,Larry Nance Jr., PF,New Orleans Pelicans," $10,690,909.00 "
116,Jeremy Lamb, SG,Sacramento Kings," $10,500,000.00 "
117,Richaun Holmes, F,Sacramento Kings," $10,384,500.00 "
118,Reggie Jackson, PG,LA Clippers," $10,384,500.00 "
119,Anthony Edwards, SG,Minnesota Timberwolves," $10,245,480.00 "
120,Luka Doncic, PG,Dallas Mavericks," $10,174,391.00 "
121,Cade Cunningham, PG,Detroit Pistons," $10,050,120.00 "
122,Tomas Satoransky, SG,Washington Wizards," $10,000,000.00 "
123,Danny Green, F,Philadelphia 76ers," $10,000,000.00 "
124,Kyle Anderson, SF,Memphis Grizzlies," $9,937,150.00 "
125,Montrezl Harrell, C,Charlotte Hornets," $9,720,900.00 "
126,Jae Crowder, PF,Phoenix Suns," $9,720,900.00 "
127,Serge Ibaka, F,Milwaukee Bucks," $9,720,900.00 "
128,Derrick Jones Jr., SF,Chicago Bulls," $9,720,900.00 "
129,Derrick Favors, F,Oklahoma City Thunder," $9,720,900.00 "
130,Ja Morant, PG,Memphis Grizzlies," $9,603,360.00 "
131,Alec Burks, SG,New York Knicks," $9,536,000.00 "
132,Reggie Bullock, SF,Dallas Mavericks," $9,536,000.00 "
133,Talen Horton-Tucker, SG,Los Angeles Lakers," $9,500,000.00 "
134,Mason Plumlee, C,Charlotte Hornets," $9,248,333.00 "
135,Jaren Jackson Jr., PF,Memphis Grizzlies," $9,180,560.00 "
136,James Wiseman, C,Detroit Pistons," $9,166,800.00 "
137,Jalen Green, SG,Houston Rockets," $8,992,200.00 "
138,Maxi Kleber, PF,Dallas Mavericks," $8,975,000.00 "
139,De'Anthony Melton, SG,Memphis Grizzlies," $8,805,976.00 "
140,Royce O'Neale, PF,Utah Jazz," $8,800,000.00 "
141,Jakob Poeltl, C,San Antonio Spurs," $8,750,000.00 "
142,Kemba Walker, PG,New York Knicks," $8,729,020.00 "
143,Thomas Bryant, C,Washington Wizards," $8,666,667.00 "
144,Alex Caruso, SG,Chicago Bulls," $8,650,651.00 "
145,RJ Barrett, SG,New York Knicks," $8,623,920.00 "
146,Delon Wright, SG,Atlanta Hawks," $8,526,316.00 "
